date,precipitation,windSpeed
5/10/2017,0.4,38.8
6/10/2017,0.2,36.4
7/10/2017,0,39.7
8/10/2017,0,36.8
9/10/2017,0.4,53.3
10/10/2017,0.4,38.9
11/10/2017,0.2,31.9
12/10/2017,0,24.8
13/10/2017,0,34.8
14/10/2017,0.4,51.5
15/10/2017,20.7,65.7
16/10/2017,17.1,42.3
17/10/2017,41.3,44.7
18/10/2017,0.4,25.2
19/10/2017,0,33.5
20/10/2017,0,34.4
21/10/2017,0,33.3
22/10/2017,0,24.7
23/10/2017,0,22.5
24/10/2017,0,29.1
25/10/2017,0.4,32.3
26/10/2017,0,15.2
27/10/2017,0,10
28/10/2017,0,18.5
29/10/2017,0,31.9
30/10/2017,0.4,30.7
31/10/2017,0.4,31.2
1/11/2017,0,26.4
2/11/2017,0,19.7
3/11/2017,0,30.2
4/11/2017,0.3,35.9
5/11/2017,0.4,32.2
6/11/2017,0.4,28.3
7/11/2017,0.3,22.4
8/11/2017,0.4,25
9/11/2017,0.4,40.8
10/11/2017,0,27.1
11/11/2017,0,37.4
12/11/2017,14.7,44.1
13/11/2017,12.5,35.9
14/11/2017,0.2,28.5
15/11/2017,0,30.8
16/11/2017,0,29
17/11/2017,0,13.1
18/11/2017,1.9,19.6
19/11/2017,1,41.5
20/11/2017,0,29.3
21/11/2017,0,23
22/11/2017,0,26.4
23/11/2017,0,34.1
24/11/2017,0,28.5
25/11/2017,0,21.8
26/11/2017,0,13.8
27/11/2017,0.4,29.3
28/11/2017,0.4,28.1
29/11/2017,0,26.4
30/11/2017,0.3,34.6
1/12/2017,0.4,27
2/12/2017,0,23.5
3/12/2017,0,15.2
4/12/2017,0,18.4
5/12/2017,0,23.3
6/12/2017,0,28.2
7/12/2017,0,24.6
8/12/2017,0,39.4
9/12/2017,0,18.9
10/12/2017,0,12.4
11/12/2017,0,28.6
12/12/2017,0.4,36.3
13/12/2017,0.4,48.6
14/12/2017,0.4,37.7
15/12/2017,0,32.5
16/12/2017,0,43.5
17/12/2017,0,39.4
18/12/2017,0,32.7
19/12/2017,0,38.6
20/12/2017,0,36.3
21/12/2017,0,37.5
22/12/2017,0,31.8
23/12/2017,0,17.4
24/12/2017,0,22.7
25/12/2017,0,29.1
26/12/2017,0,33.8
27/12/2017,0,37.1
28/12/2017,0.4,29.4
29/12/2017,0,21.9
30/12/2017,0,23.6
31/12/2017,0.4,27.4
1/1/2018,0,28.3
2/1/2018,0,31.7
3/1/2018,0,32.3
4/1/2018,0.2,32.4
5/1/2018,0.2,25.5
6/1/2018,3.7,47.3
7/1/2018,16.2,32.9
8/1/2018,11.6,28.8
9/1/2018,9.9,38.5
10/1/2018,0.4,33.9
11/1/2018,0.4,31
12/1/2018,0,30.3
13/1/2018,0,42.8
14/1/2018,0,30.5
15/1/2018,0,24.9
16/1/2018,0,13.9
17/1/2018,0,9.4
18/1/2018,0,22.3
19/1/2018,0.8,22
20/1/2018,0.4,26.1
21/1/2018,0,23.3
22/1/2018,0,8.5
23/1/2018,0,23.9
24/1/2018,0,41.8
25/1/2018,0,40.3
26/1/2018,0.4,30.8
27/1/2018,0.4,36.4
28/1/2018,0,22
29/1/2018,0.1,34.3
30/1/2018,0.2,33
31/1/2018,19.3,37.1
1/2/2018,0,29.2
2/2/2018,0.4,37.7
3/2/2018,0,34.3
4/2/2018,0,33.3
5/2/2018,0,32.3
6/2/2018,0,32.2
7/2/2018,0,24.8
8/2/2018,0,24.4
9/2/2018,0,24.1
10/2/2018,0,15.4
11/2/2018,0,23.7
12/2/2018,0,20.3
13/2/2018,0,25.3
